Track Name,Artists,Popularity,Danceability,Energy,Loudness,Liveness,Tempo
Rock The Casbah,The Clash,0,0.804,0.87,-6.881,0.0751,129.656
Police & Thieves - Remastered,The Clash,4,0.712,0.51,-9.656,0.151,151.944
Wigwam,Totta Näslund,0,0.643,0.389,-11.553,0.09,124.072
Me and Julio Down by the Schoolyard,Paul Simon,74,0.626,0.816,-10.593,0.104,105.307
Needle In The Hay,Elliott Smith,0,0.563,0.196,-17.406,0.118,116.019
Stephanie Says,The Velvet Underground,0,0.559,0.224,-19.614,0.147,112.407
3 Gymnopédies: Gymnopedie No. 1,"Erik Satie, Klara Kormendi",53,0.527,0.0291,-31.347,0.0959,99.331
Ruby Tuesday,The Rolling Stones,0,0.526,0.562,-10.782,0.176,104.701
Fly,Nick Drake,0,0.524,0.23,-18.431,0.118,114.368
Lullabye,Emitt Rhodes,0,0.483,0.0584,-21.374,0.0953,97.57
Everyone,Van Morrison,0,0.471,0.423,-13.805,0.187,105.905
These Days,Nico,0,0.406,0.131,-17.668,0.102,93.196
Judy Is A Punk - Remastered Version,Ramones,0,0.387,0.828,-5.016,0.151,179.425
She Smiled Sweetly,The Rolling Stones,0,0.342,0.3,-12.071,0.122,190.878
The Fairest Of The Seasons,Nico,0,0.296,0.195,-12.88,0.101,178.48
"Ravel: String Quartet, M. 35: II. Assez vif - Très rythmé","Maurice Ravel, Quatuor Ébène",40,0.286,0.0439,-24.745,0.147,152.867
"String Quartet In F Major, M.35: 2. Assez vif. Très rythmé","Maurice Ravel, Quatuor Ysaÿe",0,0.244,0.0468,-26.918,0.17,85.077
